In Java's regular expressions, '\d' looks for __	digits	
In Java's regular expressions, the '*' looks for __	0 to many occurences of the pattern that precedes it	
In the Matcher class, the group() method __	returns the subsequence matched by the previous match	
In the Matcher class, the start() method returns __	the starting index of the previous match	
A class can implement Serializable even if it's superclass doesn't. T/F	true	
A class can't implement Serializable if it's superclass does not implement Serializable. T/F	false	
When deserializing classes that implement Serializable, constructors are executed. T/F	false	
When deserializing classes that implement Serializable, constructors are NOT executed. T/F	True	
When deserializing Serializable classes where the superclass is NOT Serializable, the non-serializable superclass must run it's constructor. T/F	true	
When deserializing classes that implement Serializable where the superclass is not Serializable, the non-serializable superclass will not run it's constructor. T/F	false. The non-serializable superclass must run it's constructor.	
For the wrapper classes (ex. Integer, Short), the equals() method will return true if __	the primitive types and the values are equal.	
Wrapper objects are immutable. T/F	true	
All of the wrapper classes (except Character) have two constructors. They take a __ of the type being constructed and a __ of the type being constructed.	primitive, a String representation	
The Character wrapper class has only one constructor. It takes a __ argument.	char	
How do you call the valueOf() method of a wrapper class?	valueOf() is a static method that takes a string. Ex. Integer.valueOf("123");	
If we have a String x that is a binary number (base 2), what method of a wrapper class can we use to get the int value?	We use the valueOf() method.&nbsp;<div><br /></div><div>Ex. Integer i = Integer.valueOf(x, 2);<br /></div>	
What family of methods allow you to convert numeric wrapper classes into different primitive numeric types?	xxxValue() methods<br /><br />Ex. Integer i = new Integer(3);<br />byte b = i.byteValue();<div>double d = i.doubleValue();</div>	
What do the xxxValue() (ex. byteValue() ) methods in the numeric wrapper classes do?	Allow you to convert numeric wrapper classes into the primitive numeric type.	
When == is used to compare a primitive to a wrapper, what happens?	The wrapper will be unwrapped and the comparison will be primitive to primitive.	
Reference variables that refer to wrapper objects can be null. T/F	true	
Reference variables that refer to wrapper objects cannot be null. T/F	false	
Some of the wrapper objects will always be == when two of the wrapper objects have the same primitive values. What wrapper objects are they?	Boolean<br />Byte<br />Character from \u0000 to \u007f<br />Short from -128 to 127<div>Integer from -128 to 127</div>	
Given:<br /><br /><code><div align="left">class Driver { }<br />public class Car implements Serializable {<br />&nbsp;&nbsp; &nbsp;private Driver d = new Driver();<br />}<br /><br /></div></code>Is an object of type Car serializable?	An instance of type Car has-a Driver. Driver is not serializable so any attempt to serialize Car will cause a thrown exception so NO.	
Which package do you import to use the File class?	java.io.File	
How do you create new directories with Java?	Create a File object and call mkdir() on it.<br /><br />Ex.<br />File dir = new File("dir");<div>dir.mkdir();</div>	
How do you create a new file in Java?	Create a new File object and call createNewFile() on it.<br /><br />Ex.<br /><br />File file = new File("file");<div>file.createNewFile();</div>	
How do you create a new file inside of a directory using Java?	Create a File object by providing the directory path.<br />Create another File object by providing the File object representing the directory path and then the name of the new file.<br /><br />Ex.<br /><br />File dir = new File("dir1/dir2/dir3"); //assuming this directory exists<div>File file = new File(dir, "file");</div><div>file.createNewFile();</div>	
What package do you import to use the Date class?	java.util.Date	
What package do you import to use the Calendar class?	java.util.Calendar	
What package do you import to use the DateFormat class?	java.text.DateFormat	
What package do you import to use the NumberFormat class?	java.text.NumberFormat	
What package do you import to use the Locale class?	java.util.Locale	
There is only one constructor of the Date class that takes an argument. What does the Date() constructor take?	A long.	
What does an instance of the Date class represent if it was constructed with the no-arg constructor?	The moment in time when the object was construted, or "now".	
How do you create an instance of the Calendar class?	You must use the static factory method getInstance()<br /><br />Ex.<br />Calendar cal = Calendar.getInstance();	
The Calendar class has a setTime() method. What parameter does this method take?	a Date object	
<div align="left"><code><div>class Driver implements Serializable { }</div><div>public class Car implements Serializable {</div><div>&nbsp;&nbsp; &nbsp;private Driver d = new Driver();</div><div>}</div><div><br /></div></code></div><div>Is an object of type Car serializable?</div>	An instance of type Car has-a Driver. Driver is serializable so YES, instances of type Car are serializable.	
How would you call the add() method on an instance of the Calendar class?	Calendar c = Calendar.getInstance();<br /><br />c.add(Calendar.DAY, 1); //Adds one day	
How is the roll() method different than the add() method in the Calendar class?	the roll() method behaves like the add() method, except that larger parts of the Date will not be changed when incrementing or decrementing with roll()	
How do you create a new instance of the DateFormat class?	DateFormat is an abstract class. You must use a static factory method.<br /><br />Ex.<br />DateFormat df = DateFormat.getInstance();	
Given an instance of the DateFormat class, df, and an instance of the Date class, d, how do you use the DateFormat object to format the Date?	df.format(d)	
How many constructors does the Character wrapper class have?	one.<br /><br />It takes a character argument.	
The File class has an exists() method which returns a boolean.&nbsp;When does exists() return true? <br /><br />File f = new File(...);<br />f.exists();	exists() will return true if the referenced file is either a file or a directory and exists on the system.	
The File class has a method called isFile(). When does the isFile() method return true?<br /><br />File f = new File(...);<div>f.isFile();</div>	isFile() returns true if the referenced file is a file that exists and false if it is a directory or does not exist.	
In what context will you use the flush() method?	When using buffered stream writers (not readers). For example, the FileWriter class.<br /><br />Use after writing to the stream but before closing the stream.	
When writing to a stream with a Writer object, when should you use the flush() method?	You should call the flush() method after all of your write operations and before you close() the stream.	
Which Writer class that works with Files has a newLine() method?	the BufferedWriter class	
Which Writer class that works with Files has a println() method?	the PrintWriter class	
There are two ways to create a file. What are they?	1. Call the createNewFile() method on a File object.<br /><br />2. Create a FileWriter, PrintWriter or FileOutputStream. This will automatically create a new file (if it doesn't exist).	
The NumberFormat and DateFormat classes have parse() and format() methods. What do these methods do?	parse() takes a String and returns a Number.<br /><br />format() takes a number and returns a String.	
